FoodSourceID,FoodSourceCode,FoodSourceDescription,FoodSourceDescriptionF,,
0,0,FOODS BASED ON DATA FROM USDA: NO CHANGES,ALIMENTS BAS蒘 SUR LE USDA: AUCUNE MODIFICATION APPORT蒃,,
1,1,FOOD BASED ON DATA FROM USDA: SOME NUTRIENTS CHANGED TO MEET CANADIAN REGULATIONS,ALIMENT BAS?SUR LE USDA: CERTAINS 蒐蒑ENTS NUTRITIFS ONT 蒚?MODIFI蒘 POUR SE CONFORMER ?LA R蒅LEMENTATION CANADIENNE,,
3,3,FOOD BASED ON DATA FROM USDA: SOME NUTRIENTS ANALYZED IN THE CANADIAN PRODUCT,ALIMENT BAS?SUR LE USDA: CERTAINS 蒐蒑ENTS NUTRITIFS ONT 蒚?ANALYS蒘 DANS LE PRODUIT CANADIEN,,
4,4,FOOD BASED ON DATA FROM USDA: SOME NUTRIENTS CALCULATED IN THE CANADIAN PRODUCT,ALIMENT BAS?SUR LE USDA: CERTAINS 蒐蒑ENTS NUTRITIFS ONT 蒚?CALCUL蒘 DANS LE PRODUIT CANADIEN,,
6,6,FOOD BASED ON DATA FROM USDA: SOME VALUES SUPPLIED BY MANUFACTURERS OF THE CANADIAN PRODUCT,ALIMENT BAS?SUR LE USDA: CERTAINES VALEURS ONT 蒚?FOURNIES PAR LE MANUFACTURIER DU PRODUIT CANADIEN,,
9,9,DATA SUPPLIED BY AN INTERNATIONAL DATABASE OTHER THAN USDA,DONN蒃S PROVENANT D'UNE BASE DE DONN蒃S AUTRE QUE LE USDA,,
20,20,"FOOD AVAILABLE IN THE CANADIAN FOOD SUPPLY, BUT NOT FOUND IN THE USDA: NO CHANGES FROM NUTRITION CANADA SURVEY (1970-1972)","ALIMENT DISPONIBLE SUR LE MARCH?CANADIEN, MAIS NON RETROUV?DANS LE USDA: AUCUNE MODIFICATION ?LA BASE DE DONN蒃S DE L'ENQU蔜E NATIONALE DE NUTRITION CANADA (1970-1972)",,
23,23,"FOOD AVAILABLE IN THE CANADIAN FOOD SUPPLY, MAJOR NUTRIENTS ANALYZED IN THE CANADIAN PRODUCT","ALIMENT DISPONIBLE SUR LE MARCH?CANADIEN, LA VALEUR DES PRICIPAUX 蒐蒑ENTS NUTRITIFS  A 蒚?ANALYS蒃 DANS LE PRODUIT CANADIEN",,
24,24,MAJOR NUTRIENTS CALCULATED IN THE CANADIAN PRODUCT;  NOT A SNAP-CAN FOOD,蒐蒑ENTS NUTRITIFS PRINCIPAUX CALCUL蒘 DANS LE PRODUIT CANADIEN; N'EST PAS UN ALIMENT DE P葾N-CAN,,
26,26,"FOOD AVAILABLE IN THE CANADIAN FOOD SUPPLY, BUT NOT FOUND IN USDA: NUTRIENT VALUES SUPPLIED BY MANUFACTURERS OF THE CANADIAN PRODUCT","ALIMENT DISPONIBLE SUR LE MARCH?CANADIEN, MAIS NON RETROUV?DANS LE USDA: LA VALEUR DES 蒐蒑ENTS NUTRITIFS A 蒚?FOURNIE PAR LES MANUFACTURIERS DU PRODUIT",,
28,28,TRADITIONAL FOOD,ALIMENT TRADITIONNEL,,
29,10,FOOD BASED ON DATA FROM USDA: SOME NUTRIENT ANALYZED IN THE CANADIAN PRODUCT.  FOOD HAS BEEN DELETED FROM USDA,ALIMENT BAS?SUR LE USDA: LA VALEUR DE CERTAINS 蒐蒑ENTS NUTRITIFS A 蒚?ANALYS蒃 DANS LE PRODUIT CANADIEN.  ALIMENT RETIR?DE L'USDA.,,
30,11,FOOD BASED ON DATA FROM USDA.  FOOD HAS BEEN DELETED FROM USDA,ALIMENT BAS?SUR LE USDA.  ALIMENT RETIR?DE L'USDA,,
35,12,FOOD BASED ON DATA FROM USDA: INFORMATION FROM USDA SURVEY FILES,ALIMENT BAS?SUR LE USDA: INFORMATION PROVIENT DES FICHIERS DES ENQU蔜ES,,
36,35,CNF RECIPE COMPILATION,COMPILATION DE RECETTES FCEN,,
38,37,CNF Sampling and Analysis Program (SNAP-CAN),Programme d'閏hantillonage et d'analyse du FC蒒 (P葾蒒-CAN),,
